Stance;Text;Title
c;Волки, волки!!;Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало новое «неоспоримое подтверждение»
c;@(Vitaly Stativ) ту мач, суток хватит;Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало новое «неоспоримое подтверждение»
c;@(Terkin Vasily) Ну, в Арме таких конвоев длинных не бывает. Я думаю, что тут все-таки чья-то чужая запись, надеюсь иностранные эксперты подсуетятся.;Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало новое «неоспоримое подтверждение»
c;МО скинуло афтершоку цветные фотки https://aftershock.news/?q=node%2F584545&full#.18546afff22.livejournal;Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало новое «неоспоримое подтверждение»
c;а нет звезде;Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало новое «неоспоримое подтверждение»
c;@(Radik Khammatov) Ну скажут, что 4 пикселя - это США, а 8 пикселей - это террористы. Но ты ведь не поверишь в любом случае, разве это что-то поменяет? Тут либо на веру, либо в никак. На технике не будет вывески: «это террористы, стрелять сюда», как и не будет хоть каких-либо следов военного руководства сша.;Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало новое «неоспоримое подтверждение»
c;вот вас Вован и Лексус дезориентировали! Теперь никто никому не верит)));The Bell опубликовал записи переговоров Сечина и Улюкаева
c;@(Фуад Сафаров) да вся эта ситуация какая-то театральная... так что скорей бы  они своей колбасой обожрались до коликов и усё;The Bell опубликовал записи переговоров Сечина и Улюкаева
c;ПУТИНСКАЯ ЧИНУША ASMR;The Bell опубликовал записи переговоров Сечина и Улюкаева
c;слушать бесплатно, без смс;The Bell опубликовал записи переговоров Сечина и Улюкаева
c;ссылка на the bell выдаёт 404. Медуза, поддержите коллег!;The Bell опубликовал записи переговоров Сечина и Улюкаева
c;Ну и кто здесь провокатор? За версту слышно;The Bell опубликовал записи переговоров Сечина и Улюкаева
c;"Игорь Иванович  Сечин  классический  ИУДА.  ""Обнимаю,  дорогой  Алексей...  приезжай  пораньше""    и принимают  следователи. И товарищ  Улюкаев  присел.";The Bell опубликовал записи переговоров Сечина и Улюкаева
c;это очень смешно;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;ай хорош! троллинг высокого уровня!);Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;Навальный красавчик!;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;Да, это изящно.;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;Красавчег;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;То есть суд все таки иногда хороший?;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;Я к чему - гражданские суды работают довольно сносно. Конечно, очень много вопросов к уголовным процессам, но там они завязаны на результатах следствия.;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;красавчик;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;надо так облажаться!!! бу-га-га-га-га-га-га!!!;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;Отсудить у пропагандистов - бесценно;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;И ведь, что характерно, уже не в первый раз.;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;Лай фууууууу;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;Лайф,сборище путинских лохов.;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;Черти сидят там какие то;Навальный отсудил у «Лайфа» 50 тысяч рублей. Эти деньги он недополучил как «гражданский журналист» за съемку самого себя
c;21 век настал, шар земной от Вовы устал;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;Взрослые в гражданском одевают детей в военную форму. В жертву приносят себя, а не других.;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;"Кадетам, я думаю, больше подходит обращение к Путину ""деда Вова"".";«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;Нужна песня молодых матерей, дающих родине новых детей, чтобы дружно вставшие в ряд, детки стреляли в котят.;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;а в ФБ все негативные комменты Аня трет со скоростью света;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;Пусть поют о чем угодно, но надевать на ребятенка медали... непедагогично. Слушать это можно только с чисто зоологическим интересом.;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;Спасибо медузе, поржал от души :);«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;Если этот ебанат позовет в последний бой, дядя вова - хуй с тобой;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;если верховный командир дядя Вова позовет в последний бой, то исполнители песни откликнутся на призыв.;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;дядя Адик;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;что у них с мозгами?;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;Что с мозгами у их родителей??;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;а ещё говорят что нам не надо ювенальной юстиции...;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;Что? Население шара Недимон достал? =);«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;А если серьезно, мне очень жаль этих детей. Целое поколение потеряно в бездне мракобесия, ненависти, культа личности и православного фанатизма;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;хорошо лижет, далеко пойдет;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;очень плохая музыка, просто очень плохая музыка;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;"Это статья 354 УК РФ. ""Публичные призывы к развязыванию агрессивной войны. 1. Публичные призывы к развязыванию агрессивной войны - 
наказываются штрафом в размере до трехсот тысяч рублей или в размере заработной платы или иного дохода осужденного за период до двух лет либо лишением свободы на срок до трех лет. 
2. Те же деяния, совершенные с использованием средств массовой информации либо лицом, занимающим государственную должность Российской Федерации или государственную должность субъекта Российской Федерации, - 
наказываются штрафом в размере от ста тысяч до пятисот тысяч рублей или в размере заработной платы или иного дохода осужденного за период от одного года до трех лет либо лишением свободы на срок до пяти лет с лишением права занимать определенные должности или заниматься определенной деятельностью на срок до трех лет. “";«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;ИМХО, Антонову это ещё простительно - сразу видно, патриотизм головного мозга, но вот то, что депутат пошла на откровенный плагиат, ещё и подбила на это детей - no comment.;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;@Павел Исаев Апогей кретинизма. Даже облизывать чужую жопу талантливо не умеют.  Такой текст способен состряпать только абсолютный бездарь;«Если главный командир позовет в последний бой, дядя Вова, мы с тобой». Депутат Госдумы с кадетами исполнила песню про Путина
c;Реклама VPN сервисов;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;Мы гордимся тем, что натушаем закон. Будеи девизом всех либералов России.;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Samir Akhmedov) Ну, что ты там любишь сосать - твое дело, не меня тебя судить.;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Владлен Бочаров) У тебя тариф почасовой или как?;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Вадим -) Ведь у нам вся страна же - либералы и ненавистники власти. Других же людей нет в стране. Не может быть человека, который имеет другое мнение, так? Ему явно платят. Скажи еще чего-нибудь.;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;"@(Владлен Бочаров) ""не меня тебя слушать"" - ты ещё и чурка к тому же";«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Alesandro Kulishinashvili) И это мне сказал человек с фамилией кулишинашвили? Ты ничего не перепутал? У меня то айфон исправил одно слово на другое, а тебе с этим статусом жить.;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;Если Opera прогнётся, удалю в тот же день, когда не смогу на Рутрекер зайти.;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Владлен Бочаров) Не. Я просто хотел тебя нанять, че ты сразу.;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Denis Davydov) они обычные Воганы..((;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Владлен Бочаров) я тебя удивлю - грузины не чурки;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Mitry I) Не удивил. Но товарищ выше меня в ряды чурок записал только основываясь на ошибки в одном слове, почему я должен делать для него исключения?;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Владлен Бочаров) Теперь буду исправлять, а то кто знает. *ошибке в одном слове;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Владлен Бочаров) ты говноедик;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Dmitry S) Вот и аналитика подъехала.;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;@(Dmitry S) Слово слишком милое, даже и не знаю как реагировать.;«Мы очень гордимся тем, что нарушаем этот закон» Представители VPN-сервисов рассказали «Медузе», почему они не собираются сотрудничать с российскими властями
c;Удалили :(;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;АААААААААААААААААА;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Лента.ру;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;И эти люди отвечают за нашу безопасность;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;"""Кто будет защищать нас от террористов если не Путин?""";Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Бл*, как же я ору)));Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;аххахаха;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;грёбаные позорники;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Блин. Хотел заскринить как раз ХД там ответы в треде были отличные)) Со скринами из Доты и ред алерта));Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;дааа, я заскринил парочку );Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;сейчас будут говорить небось, что их взломали;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Теперь я больше верю в то, что русских ВКС там нет и не было);Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Тогда в короткометражке overwatch 'покушение' можно найти доказательства сотрудничества России с роботами;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;от души поржал;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;@(Anton A) Нет, еще висит;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;План Даллеса, Мадлен Олбрайт забирающая Сибирь и Дальний Восток - ВОТ ЭТО ВОТ ВСЁ!!!;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Шойгу уже не тот;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Феерично;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Надеюсь, они там все уволят сами себя;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;И им звания и награды  соответственно и выдают;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Полученным в игре;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;@(Radik Khammatov) Конечно запостили, ведь говорить о том, что они всех победили а все остальные не очень - в их интересах. Гос служащие же должны все время увеличивать свое влияние и лишать нас прав.;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;@(Владлен Бочаров) Какая реакция, алё, это же специально делается, чтобы замарать всё и вся своим фейкоговном. Просто кидаются говном во все стороны, в итоге все в говне и пахнут одинаково. Это из какой-то вывезенной из Берлина в 45-ом методички же?;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;@(Andrey Khamidulin) Не, еще снизу постучат, вот увидишь;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;бу-га-га-га-га-га-га!!!!;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Зашел в твиттер Минобороны. Теперь в каждом их твите любую их фотку троллят. Орал с комментов.;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;миноборонпозор;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;"Зато прогресс налицо. Помнится в первой версии сайта минобороны был примитивный ""морской бой"", а теперь вона какие натуралистичные симуляторы освоили! Радоваться нужно, а не зубоскалить!";Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Вы вспомните про то как путин хвастался Оливеру Стоуну видео атаки авиацией игиловцев. А показал запись атаки ВСУ днр и ролик американцев в ираке.;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;"@(Alexandr Nigreev) Да да) Ахах:) Царь жечь умеет:) Они просто работают по одной указке - вбить стаду у ящика, что ""я Д'Артаньян, все пи....сы"":) Самое обидно в том, что у них это получиться - сегодня прошёл слушок, что Царь и Ко. разослали еще одну установку к федеральным и не только тв, а именно о большем количестве ""позитивных"" новостей в эфире:) Что там балаболила директор Рассеи Тудай: свобода слова?! И где же она, товарисч мл Симоньянка?!";Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;@(Alexander Terekhov) алчность;Минобороны выложило «неоспоримое» доказательство сотрудничества США с ИГ: скриншот из мобильной игры
c;Мракобесы долбаные.;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;Да че уж мелочиться то?! Уберем еще биологию, потом по тихоньку точные науки, заменяя все часы отдельно православием, исламом и тд.! А то детишки наизучаются своей физики, потом начитаются Хоккинга (или не дай бог (забавно) Доккинса) и начинают сомневаться в боженьке!;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;Большинство нужно иметь богобоязненное и туповатое. Чтоб голосовали правильно, получали в буфете пирожки с ливером и отправлялись в стойло до следующего раза.;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;Все эти антинаучные религиозные предметы надо убрать из школы.;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;Им только дай волю, они бы изучение этих основ сделали обязаловкой на всю жизнь;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;@(Kirill Dmitriev) Проблема в том, что тут не препарирование мифов происходит, а их насаждение и культивация.;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;@(Roman Yerin) Да это понятно. Я ж и написал, что вести подобные занятие должны преподы, а не служители культа.;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;"@(Kirill Dmitriev) Ну вот сначала пусть попов из школ выгонят, а потом ""come on, годный предмет"" :)";Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;Да пусть у себя медресе открывают и по выходным преподают там сколько хотят!;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;@(Ruslan Khasanbaev) Убирают его потому что половина Татарстана - русские и им нафиг не нужен этот татарский язык от слова вообще, почитайте комментарии людей...;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;@(Ruslan Khasanbaev) А он там был обязательный, это бред.;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;Ушлёпки.;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;@(Ruslan Khasanbaev) узбеки там гости. как по документам, так и по отношению москвичей и всех россиян.;Российские мусульмане предложили преподавать «Основы религиозных культур» с 4 по 11 классы
c;Ладно, священник-сутенёр, ладно закрытие мусорных полигонов отложили, ладно балетмейстер умер у стоматолога, фиг с ним даже с вашим преподаванием религиозных культур в школе, НО ВОТ БЕСПЛАТНЫЕ ПАКЕТИКИ ОТМЕНИТЬ ЭТО ПЕРЕБОР, ФИЛЬТРУЙТЕ ТАМ НОВОСТИ ПОЖАЛУЙСТА, У МЕНЯ ЧУТЬ СЕРДЦЕ НЕ ОСТАНОВИЛОСЬ, СДЕЛАЙТЕ ТАМ ПОМЕТКУ 18+ ЧТО Л, ИЛИ ПОМЕТКУ О ШОКИРУЮЩЕМ СОДЕРЖАНИИ МАТЕРИАЛА!!!;Гипермаркеты «Ашан» откажутся от бесплатных пакетов
c;@(John Doe) Конечно, в Москве всегда были бесплатные.;Гипермаркеты «Ашан» откажутся от бесплатных пакетов
c;@(John Doe) Платные только толстый холщеные или как там... Как сумка хозяйственная которые. И большие такие еще целлофановые . Но если они вообще выпилят целлофановые, как это в мвидео произошло, это на самом деле пиздец.;Гипермаркеты «Ашан» откажутся от бесплатных пакетов
c;"@(Andrei L). Я и в 70-е жил, когда всем двором в 9 вечера к ""помойной машине"" с вёдрами собирались.";Гипермаркеты «Ашан» откажутся от бесплатных пакетов
c;@(Igor Dobryninsky) было дело...))) прикольно щас такое вспомнить..));Гипермаркеты «Ашан» откажутся от бесплатных пакетов
c;мир чище станет чу-чу..;Гипермаркеты «Ашан» откажутся от бесплатных пакетов
c;@IBN_MOHAMMAD после революций прошлого века большевики заново Россию отстраивали... Беломорканал, ГУЛАГи и проч соо… https://t.co/HErt8I9Fig;"Пишет мой товарищ Майк Мушреф: ""Сирия последнего месяца 2010. Ровно через год всего этого уже не будет"".
Друзья, це… https://t.co/476zvoGw5u"
c;"@alukashevsky @IBN_MOHAMMAD @myrevolutionrus поясню - фото из западных СМИ ..ВКС в Сирии с сентябре 2015 года ...
н… https://t.co/2zUDutVCuU";"Пишет мой товарищ Майк Мушреф: ""Сирия последнего месяца 2010. Ровно через год всего этого уже не будет"".
Друзья, це… https://t.co/476zvoGw5u"
c;@Bek_Aga @__JUIlIL @bog1174 @IBN_MOHAMMAD @myrevolutionrus Хорошо, ставлю страйк на то, что ты выдаешь себя за другого...;"Пишет мой товарищ Майк Мушреф: ""Сирия последнего месяца 2010. Ровно через год всего этого уже не будет"".
Друзья, це… https://t.co/476zvoGw5u"
