,Stance,Text,Title
0,,"@meduzaproject о, началось #ихтамнет и уволился ещё месяц назад",Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
1,,@meduzaproject Надо было на кладовщицу все скинуть. Роскосмос одобрил бы.,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
2,,"@meduzaproject И это уже серьёзное «неоспоримое подтверждение», удалось даже сфоткать с дронов запрещённые лозунги… https://t.co/xCvXcsHaMg",Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
3,,@meduzaproject все быстро ринулись искать из какой игры это видео)),Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
4,,@roodvoorn @zagibaigvozdi @meduzaproject Из архива Минобороны РФ https://t.co/WsE9jhU46F,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
5,,@5x @meduzaproject Не скотчем. А синей изолентой!,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
6,,@meduzaproject Теперь с игры в Марио? 😂😂😂👍,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
7,,@Meloed1 @meduzaproject Да. Там Украина.,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
8,,"@meduzaproject Месть Трампу не удалась, при попытке показать какие пиндосы пидоры и какие молодцы министерство обор… https://t.co/PPspk6wZpM",Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
9,,@meduzaproject Боюсь смотреть на статистику скачивания игры за сегодня))),Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
10,,@meduzaproject Нашли стрелочника. Ха-ха. Вранье уже постоянно. Ужас.,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
11,,"@meduzaproject Из другой игры? 
Фотошоп?
Фото хоть что-то доказывает?",Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
12,,"@meduzaproject Я правильно понимаю, что новые фото делались на nokia 3310, закреплённым на воздушном змее скотчем?",Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
13,,@meduzaproject  https://t.co/5WdPHxCnNu,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
14,,"@meduzaproject Все как обычно, своих материала нет, давайте найдем их в интернете. Неужели у Минобороны РФ нет денег на гиков ?",Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
15,,@roodvoorn @Julius_ALF @zagibaigvozdi @meduzaproject https://t.co/LmbPXwAOpD,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
16,,@Julius_ALF @zagibaigvozdi @meduzaproject Вид из глаз журналиста Колесникова,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
17,,"@meduzaproject Срамота. Даже отмаз нормальный придумать не могут. Можно ведь сказать, что хакеры взломали сайт МинО… https://t.co/8i9OPL3eGz",Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
18,,@meduzaproject Министерство обороны РФ обвинило гражданского сотрудника и даже опубликовало его фото https://t.co/cUZl3GVQPP,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
19,,@meduzaproject Кадр из безумного макса,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
20,,@meduzaproject Ниже дна есть что-нибудь?,Минобороны обвинило «гражданского сотрудника» в публикации скриншота из игры вместо фото террористов. И показало но… https://t.co/Vn4DBxwlSK
